ITEM: TIMESTEP
139
ITEM: NUMBER OF ATOMS
 109
ITEM: BOX BOUNDS pp pp pp
-0.8155899987 10.0289963
-0.8155899987 10.0289963
-0.8155899987 10.0289963
ITEM: ATOMS x y z type
-0.0669900095201 0.00501214277625 0.0146191745331 2
1.9170963713 1.92278208414 -0.041931646603 2
1.89234957215 0.0284160348452 1.83725050563 2
-0.119889777335 1.92323095648 2.03099409626 2
0.044783512858 0.0618529987022 3.80967845254 2
1.94477673367 2.0195417575 3.9325534622 2
1.93656719721 0.0029846479254 5.78828996029 2
0.0793327926803 1.9376853091 5.75214179673 2
-0.0368322142572 -0.0337830655561 7.73623325752 2
1.90153287477 1.95107876486 7.7547524964 2
1.90481218521 0.000414887066646 9.62165265201 2
-0.0533445936072 1.87810205511 9.60114750897 2
-0.0704676615022 3.89873830007 -0.0191951849363 2
1.9460783292 5.78973228271 0.0987104894246 2
1.9239481724 3.76764697631 1.92344500965 2
0.0066565684531 5.84233730415 2.00720218378 2
-0.0306132385969 3.93529460489 3.84721858748 2
1.93010363848 5.79429934128 3.83949592328 2
1.80811885851 3.88392881071 5.76185682171 2
0.0121983736497 5.79887893579 5.81156832812 2
0.0415036680946 3.942215057 7.75108605282 2
1.95750105732 5.85504196486 7.82638726855 2
1.98675945183 3.84701635311 9.69292221922 2
-0.0492340827558 5.7565521714 9.67065210553 2
0.0301173023535 7.7513485892 0.0256318888173 2
2.05262344344 9.75261797293 -0.00431079092487 2
1.91788309408 7.79241784756 1.95939119285 2
0.0261458185004 9.59712775109 1.96979746012 2
-0.0250523561277 7.77127082251 3.80678520546 2
1.88975820841 9.6418536452 3.90511879253 2
1.93873225214 7.70822858898 5.83340939338 2
0.0139375845374 9.69703709068 5.83183707432 2
0.00666357897048 7.75843223932 7.72647253015 2
1.8929649587 9.57928938134 7.72712784871 2
1.94587944322 7.74831904767 9.63990998552 2
-0.0412970599625 9.62014331773 9.70480519214 2
3.8682624106 0.0814949966368 -0.0449005534182 2
5.89302351296 1.91692933023 -0.00831328272841 2
5.84453264958 0.0448163971113 1.91601753596 2
3.88371563984 1.94978472885 1.93982039053 2
3.92496604786 -0.00340381422091 3.79436626753 2
5.74491561202 1.9641352185 3.87717390227 2
5.84681481186 0.012834624167 5.79050935209 2
3.87030788031 1.95731663921 5.7537121994 2
3.86396411213 -0.0427216521967 7.72691069703 2
5.76223663916 1.93288767733 7.66915052013 2
5.80359108495 0.00123288362038 9.60309467285 2
3.85022377418 1.87301271433 9.72123687123 2
3.86364937187 3.82150641674 -0.00786479464988 2
5.80472375947 5.80454782826 0.0579238077692 2
5.85013117713 3.81689916855 1.93778329853 2
3.89640791906 5.76438366561 1.94684213851 2
3.87106748967 3.906191726 3.88884241919 2
5.83026817599 5.70673906189 3.90242298189 2
5.89797544532 3.87118186814 5.78875770613 2
3.82520917629 5.79478228577 5.8685818641 2
3.87554847331 3.86428014441 7.77387736059 2
5.78091053171 5.8135130289 7.79248392974 2
5.83164137461 3.90412422361 9.68439664278 2
3.87495821663 5.75109078515 9.57471518481 2
3.79410284358 7.64655282001 -0.0569341761824 2
5.76392496767 9.69316881856 -0.00338067965579 2
5.70607163201 7.7295234891 1.91758745081 2
3.92998870388 9.64319829749 1.9253398391 2
3.91239042498 7.71231258541 3.82038447082 2
5.81725387587 9.61863121702 3.85982920437 2
5.84080998035 7.64351205272 5.82505839003 2
3.90722614189 9.65365746363 5.79259809106 2
3.92657446353 7.71944717022 7.74873542154 2
5.75541063008 9.57025413066 7.72508617709 2
5.78295981051 7.74477122585 9.82726987128 2
3.86071060275 9.70691094243 9.66690386037 2
7.693924417 -0.0409669619261 0.0182492291315 2
9.66736595008 1.95625337155 0.00942147762083 2
9.66682755697 -0.0255151955999 1.86503193933 2
7.83539963286 1.90692487434 1.95073567099 2
7.7243614181 0.0343254270008 3.91397851479 2
9.68839902389 1.9309009073 3.91850275537 2
9.74205985812 0.00488445313141 5.79874559818 2
7.6993986063 2.08305268011 5.83252021373 2
7.72692594933 -0.0641001500582 7.70666238935 2
9.59884731944 1.90153064302 7.74447653601 2
9.57539286865 0.0556608747624 9.66397504726 2
7.73512559704 1.88661456358 9.6862537123 2
7.72791408088 3.89993919526 -0.0147070804489 2
9.62308952609 5.82733928514 0.055704004227 2
9.74659612936 3.95585563272 1.94170109639 2
7.72813630073 5.84667650969 1.95835491345 2
7.7045315712 3.91292292994 3.87827155541 2
9.69530204322 5.72011291511 3.94896588897 2
9.77044011243 3.86327739376 5.83143505675 2
7.79035987769 5.7717882556 5.81886184939 2
7.74896323852 3.94119729832 7.72740555908 2
9.71541148833 5.83115118666 7.6828152291 2
9.57142162403 3.97045796063 9.63976951342 2
7.71562185852 5.81948781062 9.69863168866 2
7.78442365181 7.77726886326 0.0352244761437 2
9.62561625534 9.64954957613 0.0250371790045 2
9.70928734697 7.70241908472 1.99910414083 2
7.6983889609 9.69025157596 1.97508375629 2
7.74455195155 7.68708940651 3.81552542694 2
9.66204089111 9.64787570905 3.86412524684 2
9.61618056427 7.84300064066 5.82625809607 2
7.7750158681 9.6124057105 5.84912933502 2
7.73401901865 7.69610286047 7.75523439317 2
9.61472320093 9.69072072692 7.82548589365 2
9.64447315305 7.72551423534 9.57007805244 2
7.78604403541 9.66045139056 9.63247265569 2
1.78812710802 -0.316945938274 -0.0604383516074 1
